# Obtained using Overpass Turbo at http://overpass-turbo.eu/ with the
# following query on 2021-03-14:
#  [out:csv(::lat,::lon,place,name)];
#  area["name:en"="Finland"];
#  node(area)[place~"^(city|town)$"];
#  out;
@lat	@lon	place	name
63.7092253	23.3251244	town	Nedervetil
63.7534746	22.7451063	town	Larsmo
63.0957722	21.6159187	city	Vaasa
63.7059665	23.8925769	town	Ullava
63.1247621	21.6941345	town	Korsholm
60.3921669	23.8847493	town	Nummi
61.7970922	24.3692695	town	Korkeakoski
60.6691531	27.6962325	town	Miehikkälä
60.0209926	22.5067673	town	Dalsbruk
62.2524711	24.4543243	town	Haapamäki
61.4606406	22.5742487	town	Kiikoinen
60.0445468	22.6780315	town	Västanfjärd
62.5393524	29.8377089	town	Reijola
61.4764436	24.3321619	town	Sahalahti
64.7218379	24.9674194	town	Revonlahti
61.6125289	21.4453963	town	Reposaari
62.1728682	29.2083888	town	Savonranta
61.2970187	23.6388138	town	Vesilahti
60.4799034	21.8715380	town	Merimasku
62.2013736	30.6163527	town	Värtsilä
63.0153045	28.2085452	town	Muuruvesi
60.6279048	21.9175400	town	Mietoinen
61.0221269	25.1575102	town	Hämeenkoski
60.1137083	22.9502836	town	Särkisalo
61.6968339	29.6869204	town	Saari
61.0998964	21.8445743	town	Lappi
60.5198785	23.2192960	town	Kuusjoki
61.7069842	23.2735695	town	Viljakkala
64.1093714	27.1069546	town	Otanmäki
61.2071704	22.0832479	town	Kiukainen
60.8187051	21.5524799	town	Kalanti
61.1180915	22.3059348	town	Köyliö
60.6530502	23.1406187	town	Koski Tl
64.2730139	25.8672323	town	Pulkkila
60.6861761	21.7181447	town	Vinkkilä
62.3772771	27.4334684	town	Jäppilä
60.3819956	23.9695291	town	Saukkola
60.6116795	22.3069029	town	Vahto
60.6823576	21.4644839	town	Lokalahti
60.3339805	24.3208686	town	Nummela
60.7029584	22.7553823	town	Kyrö
61.0515660	24.3656253	town	Parola
61.1752192	25.5300579	town	Vääksy
60.5666337	22.4465861	town	Lieto as
61.3441735	22.9094429	town	Vammala
65.5766829	25.1950376	town	Kuivaniemi
62.0294216	24.6232138	town	Mänttä
61.2018184	21.7296943	town	Eurajoki
59.8228008	22.9695005	town	Hanko
61.2016604	24.0696292	town	Sääksmäki
60.7199253	22.6047217	town	Riihikoski
62.2961379	28.2512334	town	Kangaslampi
60.4664777	21.6654628	town	Velkua
60.1137495	22.9010653	town	Iniö
61.7546611	29.8968235	town	Niukkala
60.8679589	22.9851698	town	Hirvikoski
61.4333298	21.8833199	town	Ulvila
